employee_name,user_id,email,role,business_unit,functional_unit,department,team,supervisor,month_year,tenure
Aaron Porter Gutierrez,APG0307,Aaron.Porter.Gutierrez@dtaa.com,ProductionLineWorker,1,3 - Manufacturing,3 - Assembly,1 - AssemblyDept,Shannon Chantale Price,2010-06,2010-01-2010-06
Abdul Ralph Deleon,ARD0509,Abdul.Ralph.Deleon@dtaa.com,Technician,1,5 - SalesAndMarketing,3 - FieldService,2 - RegionalFieldService,Burke Randall Burnett,2010-06,2010-01-2010-06
Abel Adam Morton,AAM0658,Abel.Adam.Morton@dtaa.com,Technician,1,5 - SalesAndMarketing,3 - FieldService,3 - RegionalFieldService,Hedwig Regina Livingston,2010-06,2010-01-2010-06
Abel Reese Boone,ARB0881,Abel.Reese.Boone@dtaa.com,Technician,1,5 - SalesAndMarketing,3 - FieldService,5 - RegionalFieldService,Blythe Veda Cooke,2010-06,2010-01-2010-06
Adam Ishmael Mcdaniel,AIM0627,Adam.Ishmael.Mcdaniel@dtaa.com,Salesman,1,5 - SalesAndMarketing,2 - Sales,3 - RegionalSales,Winter Veda Burks,2010-06,2010-01-2010-06
Adam Kendall Harrell,AKH0758,Adam.Kendall.Harrell@dtaa.com,Technician,1,5 - SalesAndMarketing,3 - FieldService,4 - RegionalFieldService,Blaine Helen Cervantes,2010-06,2010-01-2010-06
Addison Edward Snyder,AES0827,Addison.Edward.Snyder@dtaa.com,ProductionLineWorker,1,3 - Manufacturing,3 - Assembly,5 - AssemblyDept,Amy Lucy Chen,2010-06,2010-01-2010-06
Addison Hiram Morrow,AHM0410,Addison.Hiram.Morrow@dtaa.com,SystemsEngineer,1,2 - ResearchAndEngineering,3 - Engineering,6 - SystemsEngineering,Hadassah Riley Baker,2010-06,2010-01-2010-06
Adena Lisandra Hardin,ALH0402,Adena.Lisandra.Hardin@dtaa.com,SoftwareEngineer,1,2 - ResearchAndEngineering,2 - SoftwareManagement,2 - Software,Jocelyn Bree Mccray,2010-06,2010-01-2010-06
Ainsley MacKensie Doyle,AMD0077,Ainsley.MacKensie.Doyle@dtaa.com,ChiefEngineer,1,2 - ResearchAndEngineering,3 - Engineering,3 - MaterialsEngineering,Declan Lester Moss,2010-06,2010-01-2010-06
Akeem Jerry Lopez,AJL0462,Akeem.Jerry.Lopez@dtaa.com,ProductionLineWorker,1,3 - Manufacturing,3 - Assembly,2 - AssemblyDept,Armando Albert Walter,2010-06,2010-01-2010-06
Akeem Quamar Davenport,AQD0820,Akeem.Quamar.Davenport@dtaa.com,SoftwareEngineer,1,2 - ResearchAndEngineering,2 - SoftwareManagement,5 - Software,Sara Gail George,2010-06,2010-01-2010-06
Akeem William Mayer,AWM0764,Akeem.William.Mayer@dtaa.com,Technician,1,5 - SalesAndMarketing,3 - FieldService,4 - RegionalFieldService,Blaine Helen Cervantes,2010-06,2010-01-2010-06
Aladdin Abraham Foley,AAF0791,Aladdin.Abraham.Foley@dtaa.com,Physicist,1,2 - ResearchAndEngineering,1 - Research,5 - Lab,Sasha Britanney Quinn,2010-06,2010-01-2010-06
Aladdin Hu Day,AHD0848,Aladdin.Hu.Day@dtaa.com,ProductionLineWorker,1,3 - Manufacturing,3 - Assembly,5 - AssemblyDept,Amy Lucy Chen,2010-06,2010-01-2010-06
Alan Benjamin Holder,ABH0663,Alan.Benjamin.Holder@dtaa.com,AssemblySupervisor,1,3 - Manufacturing,3 - Assembly,4 - AssemblyDept,Delilah Iliana Wilkinson,2010-06,2010-01-2010-06
Albert Mohammad Joseph,AMJ0297,Albert.Mohammad.Joseph@dtaa.com,ProductionLineWorker,1,3 - Manufacturing,3 - Assembly,1 - AssemblyDept,Shannon Chantale Price,2010-06,2010-01-2010-06
Alden Caesar Velez,ACV0812,Alden.Caesar.Velez@dtaa.com,ComputerProgrammer,1,2 - ResearchAndEngineering,2 - SoftwareManagement,5 - Software,Sara Gail George,2010-06,2010-01-2010-06
Alea Maggie Whitfield,AMW0392,Alea.Maggie.Whitfield@dtaa.com,ComputerScientist,1,2 - ResearchAndEngineering,2 - SoftwareManagement,2 - Software,Jocelyn Bree Mccray,2010-06,2010-01-2010-06
Alea Tana Ferrell,ATF0274,Alea.Tana.Ferrell@dtaa.com,HardwareEngineer,1,2 - ResearchAndEngineering,3 - Engineering,4 - SystemsEngineering,Gage Kaden Odonnell,2010-06,2010-01-2010-06
Alec Boris Chase,ABC0253,Alec.Boris.Chase@dtaa.com,ElectricalEngineer,1,2 - ResearchAndEngineering,3 - Engineering,2 - ElectricalEngineering,Dylan Tiger Terry,2010-06,2010-01-2010-06
Alexa Nadine Poole,ANP0555,Alexa.Nadine.Poole@dtaa.com,Mathematician,1,2 - ResearchAndEngineering,1 - Research,3 - Lab,Honorato Ivan Wall,2010-06,2010-01-2010-06
Alexander Rafael Arnold,ARA0252,Alexander.Rafael.Arnold@dtaa.com,MechanicalEngineer,1,2 - ResearchAndEngineering,3 - Engineering,1 - MechanicalEngineering,Harper Price Harris,2010-06,2010-01-2010-06
Alfonso Colin Cooley,ACC0042,Alfonso.Colin.Cooley@dtaa.com,ITAdmin,1,1 - Adminstration,6 - Security,2 - ElectronicSecurity,Frances Alisa Wiggins,2010-06,2010-01-2010-06
Alfonso Gage Blankenship,AGB0186,Alfonso.Gage.Blankenship@dtaa.com,Technician,1,5 - SalesAndMarketing,3 - FieldService,1 - RegionalFieldService,Garrett Nicholas Solomon,2010-06,2010-01-2010-06
Alfreda Morgan Holloway,AMH0464,Alfreda.Morgan.Holloway@dtaa.com,ProductionLineWorker,1,3 - Manufacturing,3 - Assembly,2 - AssemblyDept,Armando Albert Walter,2010-06,2010-01-2010-06
Alfreda Sierra Savage,ASS0517,Alfreda.Sierra.Savage@dtaa.com,Technician,1,5 - SalesAndMarketing,3 - FieldService,2 - RegionalFieldService,Burke Randall Burnett,2010-06,2010-01-2010-06
Ali Murphy Hurley,AMH0794,Ali.Murphy.Hurley@dtaa.com,Physicist,1,2 - ResearchAndEngineering,1 - Research,5 - Lab,Sasha Britanney Quinn,2010-06,2010-01-2010-06
